2021-07-22  02:18:20,71,15,-0.192,0.988,-0.064
2021-07-22  02:18:22,71,15,-0.192,0.992,-0.06
2021-07-22  02:18:23,71,15,-0.188,0.984,-0.072
2021-07-22  02:18:24,71,15,-0.2,0.988,-0.068
2021-07-22  02:18:26,71,15,-0.192,0.984,-0.064
2021-07-22  02:18:27,71,15,-0.196,0.988,-0.06
2021-07-22  02:18:29,72,15,-0.196,0.988,-0.068
2021-07-22  02:18:30,71,15,-0.192,0.988,-0.06
2021-07-22  02:18:32,71,15,-0.188,0.984,-0.064
2021-07-22  02:18:33,71,15,-0.188,0.988,-0.068
2021-07-22  02:18:34,71,15,-0.192,0.984,-0.056
2021-07-22  02:18:38,71,15,-0.192,0.984,-0.068
2021-07-22  02:18:40,71,15,-0.188,0.984,-0.064
2021-07-22  02:18:41,71,15,-0.188,0.98,-0.056
2021-07-22  02:18:42,71,15,-0.204,0.992,-0.064
2021-07-22  02:18:44,71,15,-0.192,0.988,-0.068
2021-07-22  02:18:45,71,15,-0.192,0.984,-0.06
2021-07-22  02:18:46,71,15,-0.192,0.988,-0.06
2021-07-22  02:18:47,71,15,-0.184,0.984,-0.06
2021-07-22  02:18:48,71,15,-0.188,0.988,-0.064
2021-07-22  02:18:49,71,15,-0.192,0.976,-0.064
2021-07-22  02:18:53,71,15,-0.192,0.98,-0.06
2021-07-22  02:18:57,71,15,-0.188,0.984,-0.068
2021-07-22  02:18:58,71,15,-0.188,0.988,-0.068
2021-07-22  02:18:59,71,15,-0.192,0.984,-0.064
2021-07-22  02:19:01,71,15,-0.196,0.984,-0.048
2021-07-22  02:19:02,71,15,-0.184,0.984,-0.068
2021-07-22  02:19:03,71,15,-0.188,0.984,-0.068
2021-07-22  02:19:07,71,15,-0.188,0.988,-0.052
2021-07-22  02:19:11,71,15,-0.196,0.988,-0.068
2021-07-22  02:19:12,70,15,-0.188,0.98,-0.06
2021-07-22  02:19:13,70,15,-0.196,0.984,-0.068
2021-07-22  02:19:14,71,15,-0.192,0.984,-0.06
2021-07-22  02:19:15,71,15,-0.192,0.984,-0.068
2021-07-22  02:19:16,71,15,-0.188,0.984,-0.064
2021-07-22  02:19:18,70,15,-0.196,0.992,-0.068
2021-07-22  02:19:19,71,15,-0.188,0.98,-0.064
2021-07-22  02:19:20,70,15,-0.196,0.984,-0.064
2021-07-22  02:19:21,71,15,-0.192,0.984,-0.064
2021-07-22  02:19:22,70,15,-0.188,0.988,-0.064
2021-07-22  02:19:25,71,15,-0.188,0.988,-0.068
2021-07-22  02:19:26,71,15,-0.192,0.988,-0.064
2021-07-22  02:19:27,71,15,-0.192,0.988,-0.056
2021-07-22  02:19:29,72,15,-0.2,0.98,-0.056
2021-07-22  02:19:31,71,15,-0.192,0.988,-0.06
2021-07-22  02:19:32,71,15,-0.196,0.988,-0.064
2021-07-22  02:19:34,71,15,-0.184,0.976,-0.064
2021-07-22  02:19:35,71,15,-0.196,0.988,-0.06
2021-07-22  02:19:37,71,15,-0.184,0.988,-0.056
2021-07-22  02:19:38,71,15,-0.188,0.98,-0.056
2021-07-22  02:19:39,71,15,-0.192,0.984,-0.064
2021-07-22  02:19:41,71,15,-0.192,0.984,-0.064
2021-07-22  02:19:43,71,15,-0.192,0.988,-0.068
2021-07-22  02:19:46,71,15,-0.192,0.984,-0.064
