Timestamp,Track_Block_ID,Sensor_ID,Voltage_V,Current_A,Temperature_C,Vibration_m_s2,Relay_Status,Timer_TON_ms,Timer_TCH_ms,JK_FlipFlop_Q,Signal_Output_Q0,Override_Flag_ATC,Occupancy_State,Signal_Transition_Delay_ms,Block_Clearance_Time_s,Train_Headway_s,Ambient_Temp_C,Humidity_percent,Dust_Index_ppm,Track_Resistance_Ohm,PLC_CPU_Load_percent,HMI_Alert_Code,Failure_Type,Component_Age_days,Maintenance_Action,RUL_Predicted_days,Edge_Anomaly_Score,Cloud_Health_Index,Predicted_Failure_Prob,Location_ID,Operator_ID
2025-01-01 00:00:00,B7,S16,258.6094675463983,5.990775125024468,30.398047860821837,0.5578010355155256,1,166.88117226851588,212.98961339139396,0,0,1,CLEAR,20.060420973494168,59.59048785547121,95.02964019431798,34.53899849064739,72.44903657812304,39.78891155233653,3.2323305747283317,27.07457534784984,A2,C6,1896,Clean Contacts,297.4026069924234,0.9321119875688616,0.7749555306361212,0.11599591885095062,L1,O4
2025-01-01 00:00:01,B20,S2,208.45862731197414,4.230170290523556,35.834798071978966,0.43326950621230953,1,260.5152647863746,495.8776072291456,0,1,0,OCCUPIED,29.810649467592473,40.6271302610436,197.16458273148908,26.683600168464768,31.15698832497827,6.413385920154857,3.300584582661722,54.99851409654718,A2,C6,1521,Replace Timer,130.14117269571466,0.48209388970964007,0.34787443777897054,0.4561631824380252,L5,O5
2025-01-01 00:00:02,B15,S28,226.0973697530661,3.9715568682892126,37.24864237753056,0.5424604508445996,1,362.3050757372227,134.33612064824013,0,0,0,CLEAR,12.437359502820613,92.25670680930713,161.970771343818,31.521234033629373,69.07343730509308,9.468771286234979,1.3155590945564346,81.26245320770964,A2,C7,1692,Lubricate Relay,40.68150545419969,0.7359548564523708,0.2055305385483931,0.8611696161192793,L1,O10
2025-01-01 00:00:03,B11,S22,220.1535505457881,5.134255262873545,28.80435988048866,0.28804481643606183,1,221.91826355903362,285.4652067029786,1,0,0,OCCUPIED,48.02541077410871,111.68808281998604,205.7460929231074,32.62367350807115,50.20757794979225,8.574553649095973,1.9953914004860747,11.65008971201182,A4,C6,1160,Replace Timer,191.92505750987482,0.23322178298015617,0.2541426649252103,0.11607582887546752,L2,O9
2025-01-01 00:00:04,B8,S30,227.29728752940696,5.284669586462649,39.78518415068112,0.6533921444490683,0,291.2217782302121,408.5174744315588,1,0,1,OCCUPIED,36.89048046868987,110.01523211371524,161.81320809839156,29.10622715293116,69.96745383239414,18.509329534488312,4.454545599790682,75.8197275598963,A4,C1,1283,Lubricate Relay,316.24775970203893,0.6435047437150136,0.903731105359096,0.5522739107766482,L3,O10
2025-01-01 00:00:05,B7,S20,250.57212173211383,5.026336104907609,34.008810301737185,0.653108122661722,1,285.9186143550726,50.29199130975094,1,0,1,CLEAR,21.843219243949996,59.38035145156485,120.2188485413051,26.776330674143416,57.6195948822097,34.734308424862824,2.9712459175665726,70.33166475145137,A2,C6,1617,Lubricate Relay,214.7946445083517,0.08506634067864682,0.7543648556805509,0.19967759609994995,L3,O2
2025-01-01 00:00:06,B19,S6,215.23316755303856,5.297899737708166,37.76322357233154,0.5889401029844437,0,124.24205721124245,365.9194634640967,0,0,0,OCCUPIED,19.30705678194251,51.07974964373916,120.91461576632994,31.84845550133084,56.34033504461544,32.19184832707754,2.4578586746586053,22.93537194767793,A1,C4,969,Lubricate Relay,79.52751627752504,0.8625841724367797,0.8987979628838876,0.48567384874754704,L5,O9
2025-01-01 00:00:07,B11,S28,223.23094203605706,4.43436950330498,42.27259117800662,0.6245934458310365,1,330.3722750360057,169.92450351767238,1,0,1,CLEAR,15.738743729987618,54.6645260410963,267.5280448873734,17.766178138915635,65.07956742232702,36.234776134794075,4.71182782377432,39.843648480452664,A2,C1,1140,Clean Contacts,79.3112322985555,0.721576127368971,0.9302143190837668,0.2023023934854964,L6,O8
2025-01-01 00:00:08,B11,S25,239.8175862908471,4.5275651138521225,38.69811483372041,0.4925837987113914,0,247.663277692429,126.37702521134473,1,1,0,OCCUPIED,40.3933797164122,55.86011593147756,97.54903630874936,28.811664382695373,70.31669185076163,36.340593878885876,4.153754803082901,82.47774820499762,A4,C10,955,Clean Contacts,124.68647041247304,0.9549036537891475,0.011897184290299179,0.5302970973597251,L1,O3
2025-01-01 00:00:09,B4,S29,231.39738169876478,5.061978966252948,34.525865054765006,0.42495134249634375,1,413.5634157436219,173.38750851573116,1,1,1,OCCUPIED,24.5576412685135,37.402118116118764,89.5474202911987,33.311740593327364,64.67273977451185,0.1500352877817468,0.9386239581008833,21.710871441730397,A4,C6,115,Lubricate Relay,30.636418218052572,0.778219351263797,0.19265765835943616,0.4115728783777267,L2,O5
2025-01-01 00:00:10,B8,S10,232.62762423963505,5.879034680364413,44.720243378439505,0.37460972408759163,0,360.77504365800496,485.06739162790285,0,0,1,OCCUPIED,19.85977494699911,42.00097255133015,83.2989944893109,26.3740186450482,52.53571529141104,34.226990547279186,4.365173171114597,18.90886071766877,A5,C3,1390,Check Sensor,197.78009944693687,0.1830142043931663,0.39162587226778356,0.3938639565381433,L10,O9
2025-01-01 00:00:11,B3,S28,215.52085490600663,5.280340330045026,34.776743494356886,0.6008137599409569,1,100.16113378889958,451.37086665785847,0,1,1,CLEAR,45.73497861680979,49.30352828521478,77.79714392334894,28.577578330579634,46.041803826442454,34.22863022559939,1.173810022698463,68.81704130940577,A3,C4,331,Check Sensor,354.8017095033854,0.46748171126553506,0.2089909263258951,0.16035852966876063,L3,O5
2025-01-01 00:00:12,B2,S10,228.92624792596254,5.303601994872123,35.46566478696163,0.42493850759918234,1,269.9412845164558,146.18950540866612,1,0,1,CLEAR,11.759807640715724,30.73521024768635,63.47812538683633,30.74645813561201,72.2814939434007,3.1055875313263757,1.286610509116195,47.6732181901437,A1,C8,1129,Lubricate Relay,293.3159374372803,0.5424188224361783,0.054531123355641364,0.6597990205141337,L10,O1
2025-01-01 00:00:13,B12,S8,246.97367677309285,4.463161752216375,34.18187275613457,0.46262378500322315,1,366.1224613223843,102.66204790330005,1,1,0,CLEAR,16.87259723287764,34.25069972179955,98.4974006315493,23.743398873515027,56.03888095653781,21.356060830420915,0.8390639593814677,32.72971309232375,A5,C8,546,Replace Timer,199.50676163241022,0.8284679028457671,0.9283516212870864,0.07025075879547693,L9,O8
2025-01-01 00:00:14,B6,S1,205.8571852537853,5.211202541415961,28.87198524522104,0.5224138101539034,1,89.15527661330418,213.86867203151044,0,0,1,OCCUPIED,20.514457061593255,92.86952491250696,106.25458437680413,40.676536496056,69.17303757349259,3.932358389084439,2.666079921227405,23.749209916715124,A3,C3,148,Clean Contacts,335.9748139034679,0.5503963883601557,0.8889911337615323,0.9338626078361318,L8,O9
2025-01-01 00:00:15,B2,S13,219.5403627395146,4.408925375599101,28.321070188075677,0.49625301105849695,0,406.62366465048416,316.5514160450331,0,0,0,CLEAR,16.693316849679018,85.73913771653389,124.73377446270567,19.57825214372642,79.78587215616521,9.541500299690997,3.401101923077576,67.77779401721513,A4,C4,659,Replace Timer,210.69488895846476,0.4766939849942672,0.19035145596399905,0.05902963778943715,L8,O2
2025-01-01 00:00:16,B1,S24,202.76687555711996,5.883878678980105,32.228987725237104,0.5264772782990391,1,149.90203158997974,440.2150828615043,1,1,1,OCCUPIED,31.34313685494973,115.0880023037568,89.769475233019,16.207935285106906,62.19437901344828,24.487543614499053,3.8917195745134516,45.16028354836212,A3,C3,1648,Replace Timer,291.66010096103923,0.7130000474932058,0.49119351098654707,0.41152120623900357,L7,O10
2025-01-01 00:00:17,B12,S9,238.0546354541561,4.494036345318313,29.931334232174194,0.3191882679579926,1,276.3881579631603,484.740556268035,0,1,0,OCCUPIED,32.04640001763188,66.15814119762516,82.59740494086958,29.082077967132985,43.917309737814456,0.6006032204120049,0.6202636948394229,29.152340245741772,A4,C8,376,Check Sensor,67.38452555993952,0.6421702083111998,0.9777925421463521,0.2867784696553709,L5,O7
2025-01-01 00:00:18,B12,S22,248.38205817971703,4.601759690750819,33.61164901456847,0.4766503648773234,1,473.2525793626863,388.01901567789446,1,0,1,CLEAR,7.46370376176273,69.98985101848625,189.95441416803737,22.453395057707628,73.2778303463918,4.749997757849439,1.300375983373242,85.47075866377895,A2,C3,630,Check Sensor,70.30336205500078,0.7487782335321823,0.5906995261933742,0.5516988121935894,L10,O10
2025-01-01 00:00:19,B17,S10,227.24885019061935,4.263462178467693,39.13080916004647,0.5824163316849483,0,307.1004056700278,319.5532457157451,0,0,1,CLEAR,11.50380788291709,36.09616096377409,232.48474625157738,26.4101964830022,43.68365237889243,4.246060635287541,3.2955021158359554,54.88524347084065,A1,C10,1762,Replace Timer,316.6002988946631,0.4751265778447561,0.5407528405394253,0.024903923594915,L9,O3
2025-01-01 00:00:20,B10,S15,214.91719978227053,5.0429081597781975,32.95465706838312,0.45681826903364064,0,240.82450326677633,114.04941175895762,1,0,1,OCCUPIED,13.933794037070518,43.702557723308864,211.24492256797717,26.879280956615155,43.02004841793969,6.227205188925177,2.865125840066768,38.25823777824928,A4,C3,1083,Replace Timer,84.32062992874515,0.7235038446705793,0.42450844978535685,0.439003057649355,L1,O2
2025-01-01 00:00:21,B16,S5,215.35630322818196,5.021895823931554,36.099810499075815,0.413783658409596,1,53.0577173296142,83.31276936798997,1,1,1,OCCUPIED,8.164763083175908,92.24466496054126,193.6095285506874,27.723255290314107,33.696851084858025,2.4891219916741036,0.7310925524903906,67.5726362933866,A4,C6,1225,Replace Timer,202.33440682363005,0.9711056564390688,0.12698988390491306,0.7537063382308657,L10,O10
2025-01-01 00:00:22,B15,S22,225.54414188190887,5.756620540588356,32.47046832284644,0.5954794799815014,0,110.03613024833514,318.2120953381405,1,1,0,OCCUPIED,10.614289518469086,51.153576018552975,165.73530531479923,18.90963203501466,33.928134862492314,30.603851278645884,4.709344737286517,49.71415886829825,A4,C3,851,Check Sensor,77.8266317145564,0.1816118266894321,0.11437865718587836,0.8072036268200019,L1,O2
